<img src=""><br>állat,<img src=""><br>animal
<img src=""><br>séta,<img src=""><br>walk
<img src=""><br>jól,<img src=""><br>well
<img src=""><br>vad,<img src=""><br>wild
<img src=""><br>ordítás,<img src=""><br>yell
<img src=""><br>teljesítmény,<img src=""><br>achievement
<img src=""><br>színésznő,<img src=""><br>actress
<img src=""><br>adalékanyag,<img src=""><br>additive
<img src=""><br>alkohol,<img src=""><br>alcohol
<img src=""><br>hozzávetőlegesen,<img src=""><br>approximately
<img src=""><br>körülbelül,<img src=""><br>around
<img src=""><br>nyíl,<img src=""><br>arrow
<img src=""><br>mesterséges,<img src=""><br>artificial
<img src=""><br>művész,<img src=""><br>artist
<img src=""><br>űrhajós,<img src=""><br>astronaut
<img src=""><br>átlagos,<img src=""><br>average
<img src=""><br>milliárd,<img src=""><br>billion
<img src=""><br>életrajz,<img src=""><br>biography
<img src=""><br>véredény,<img src=""><br>blood vessel
<img src=""><br>karrier,<img src=""><br>career
<img src=""><br>sejt,<img src=""><br>cell
<img src=""><br>évszázad,<img src=""><br>century
<img src=""><br>bajnok,<img src=""><br>champion
<img src=""><br>komponálni,<img src=""><br>compose
<img src=""><br>zeneszerző,<img src=""><br>composer
<img src=""><br>tartalmaz,<img src=""><br>contain
<img src=""><br>gróf,<img src=""><br>count
<img src=""><br>nap,<img src=""><br>day
<img src=""><br>évtized,<img src=""><br>decade
<img src=""><br>nyomozó,<img src=""><br>detective
<img src=""><br>távolság,<img src=""><br>distance
<img src=""><br>Föld,<img src=""><br>Earth
<img src=""><br>kitartás,<img src=""><br>endurance
<img src=""><br>végül is,<img src=""><br>eventually
<img src=""><br>szakértő,<img src=""><br>expert
<img src=""><br>messze,<img src=""><br>far
<img src=""><br>nő,<img src=""><br>female
<img src=""><br>töredék,<img src=""><br>fraction
<img src=""><br>zseni,<img src=""><br>genius
<img src=""><br>aranyérem,<img src=""><br>gold medal
<img src=""><br>találgatás,<img src=""><br>guess
<img src=""><br>fele,<img src=""><br>half
<img src=""><br>nehéz,<img src=""><br>heavy
<img src=""><br>magasság,<img src=""><br>height
<img src=""><br>magas,<img src=""><br>high
<img src=""><br>óra,<img src=""><br>hour
<img src=""><br>száz,<img src=""><br>hundred
<img src=""><br>hihetetlen,<img src=""><br>incredible
<img src=""><br>intelligencia hányados,<img src=""><br>intelligence quotient
<img src=""><br>feltaláló,<img src=""><br>inventor
<img src=""><br>kilogramm,<img src=""><br>kilogramm
<img src=""><br>kilométer,<img src=""><br>kilometre
<img src=""><br>élettartam,<img src=""><br>lifetime
<img src=""><br>távolugrás,<img src=""><br>long jump
<img src=""><br>maraton,<img src=""><br>marathon
<img src=""><br>matematikus,<img src=""><br>mathematician
<img src=""><br>maximális,<img src=""><br>maximum
<img src=""><br>mérés,<img src=""><br>measure
<img src=""><br>méter,<img src=""><br>metre
<img src=""><br>évezred,<img src=""><br>millenium
<img src=""><br>millió,<img src=""><br>million
<img src=""><br>perc,<img src=""><br>minute
<img src=""><br>pillanat,<img src=""><br>moment
<img src=""><br>hónap,<img src=""><br>month
<img src=""><br>mozgás,<img src=""><br>movement
<img src=""><br>izom,<img src=""><br>muscle
<img src=""><br>zenész,<img src=""><br>musician
<img src=""><br>rejtély,<img src=""><br>mystery
<img src=""><br>Nobe díj,<img src=""><br>Nobe prize
<img src=""><br>nővér,<img src=""><br>nurse
<img src=""><br>szakács,<img src=""><br>chef
<img src=""><br>szerelő,<img src=""><br>mechanic
<img src=""><br>fényképész,<img src=""><br>photographer
<img src=""><br>pilóta,<img src=""><br>pilot
<img src=""><br>nővér,<img src=""><br>nurse
<img src=""><br>újságíró,<img src=""><br>journalist
<img src=""><br>építészmérnök,<img src=""><br>architect
<img src=""><br>állatorvos,<img src=""><br>vet
<img src=""><br>fizika,<img src=""><br>physics
<img src=""><br>játékos,<img src=""><br>player
<img src=""><br>költészet,<img src=""><br>poetry
<img src=""><br>nyomás,<img src=""><br>pressure
<img src=""><br>valószínűleg,<img src=""><br>probably
<img src=""><br>csoda,<img src=""><br>prodigy
<img src=""><br>egyetemi tanár,<img src=""><br>professor
<img src=""><br>programozó,<img src=""><br>programmer
<img src=""><br>közzé,<img src=""><br>publish
<img src=""><br>negyed,<img src=""><br>quarter
<img src=""><br>rádium,<img src=""><br>radium
<img src=""><br>rapper,<img src=""><br>rapper
<img src=""><br>nemrég,<img src=""><br>recently
<img src=""><br>számol,<img src=""><br>reckon
<img src=""><br>elismerés,<img src=""><br>recognition
<img src=""><br>rekord,<img src=""><br>record
<img src=""><br>relé,<img src=""><br>relay
<img src=""><br>megtakarítás,<img src=""><br>save
<img src=""><br>tudós,<img src=""><br>scientist
<img src=""><br>második,<img src=""><br>second
<img src=""><br>lő,<img src=""><br>shoot
<img src=""><br>látvány,<img src=""><br>sight
<img src=""><br>készség,<img src=""><br>skill
<img src=""><br>társadalom,<img src=""><br>society
<img src=""><br>helyesírás,<img src=""><br>spelling
<img src=""><br>tegyük fel,<img src=""><br>suppose
<img src=""><br>kóstol,<img src=""><br>taste
<img src=""><br>ízletes,<img src=""><br>tasty
<img src=""><br>ezer,<img src=""><br>thousand
<img src=""><br>tonna,<img src=""><br>ton
<img src=""><br>érintés,<img src=""><br>touch
<img src=""><br>fordítás,<img src=""><br>translation
<img src=""><br>használati útmutató,<img src=""><br>user guide
<img src=""><br>sétál,<img src=""><br>walk
<img src=""><br>mérlegelni,<img src=""><br>weigh
<img src=""><br>győztes,<img src=""><br>winner
<img src=""><br>téli,<img src=""><br>winter
<img src=""><br>év,<img src=""><br>year
<img src=""><br>cselekedni,<img src=""><br>act
<img src=""><br>kaland,<img src=""><br>adventure
<img src=""><br>hirdetés,<img src=""><br>advertisement
<img src=""><br>alkalmazás,<img src=""><br>application
<img src=""><br>kerülje el az összes növényt,<img src=""><br>avoid all plants
<img src=""><br>tűzoltóautó,<img src=""><br>fire engine
<img src=""><br>tűzoltó,<img src=""><br>fireman
<img src=""><br>rendőrautó,<img src=""><br>police car
<img src=""><br>rendőr,<img src=""><br>policeman
<img src=""><br>mentőautó,<img src=""><br>ambulance
<img src=""><br>felcser,<img src=""><br>paramedic
<img src=""><br>helikopter,<img src=""><br>helicopter
<img src=""><br>mentőcsónak,<img src=""><br>lifeboat
<img src=""><br>díj,<img src=""><br>award
<img src=""><br>akkumulátor,<img src=""><br>battery
<img src=""><br>csomagtartó,<img src=""><br>boot
<img src=""><br>hatalmaskodó,<img src=""><br>bossy
<img src=""><br>ág,<img src=""><br>branch
<img src=""><br>menedéket építeni,<img src=""><br>build a shelter
<img src=""><br>kihívás,<img src=""><br>challenge
<img src=""><br>díj,<img src=""><br>charge
<img src=""><br>ellenőrzés,<img src=""><br>check
<img src=""><br>felmászni egy fára,<img src=""><br>climb a tree
<img src=""><br>vigasztalja,<img src=""><br>comforts
<img src=""><br>iránytű,<img src=""><br>compass
<img src=""><br>versenyképes,<img src=""><br>competitive
<img src=""><br>érintkezés,<img src=""><br>contact
<img src=""><br>versenyző,<img src=""><br>contestant
<img src=""><br>másolat,<img src=""><br>copy
<img src=""><br>folyosó,<img src=""><br>corridor
<img src=""><br>sötét,<img src=""><br>dark
<img src=""><br>nappal,<img src=""><br>daytime
<img src=""><br>kétség,<img src=""><br>doubt
<img src=""><br>keleti,<img src=""><br>east
<img src=""><br>étkezési szokás,<img src=""><br>eating habit
<img src=""><br>környezet,<img src=""><br>enviroment
<img src=""><br>este,<img src=""><br>evening
<img src=""><br>tapasztalat,<img src=""><br>experience
<img src=""><br>tapasztalt,<img src=""><br>eperienced
<img src=""><br>arc,<img src=""><br>face
<img src=""><br>ivóvizet találni,<img src=""><br>find drinking water
<img src=""><br>elsősegély-készlet,<img src=""><br>first-aid kit
<img src=""><br>fitnesz,<img src=""><br>fitness
<img src=""><br>zászló,<img src=""><br>flag
<img src=""><br>kövesse a folyót,<img src=""><br>follow the river
<img src=""><br>kiszállni,<img src=""><br>get out of
<img src=""><br>útmutató,<img src=""><br>guide
<img src=""><br>sisak,<img src=""><br>helmet
<img src=""><br>remény,<img src=""><br>hope
<img src=""><br>helytelen,<img src=""><br>incorrect
<img src=""><br>rovar,<img src=""><br>insect
<img src=""><br>oktatás,<img src=""><br>instruction
<img src=""><br>medúza,<img src=""><br>jellyfish
<img src=""><br>ékszerek,<img src=""><br>jewellery
<img src=""><br>csatlakozik,<img src=""><br>join
<img src=""><br>dzsungel,<img src=""><br>jungle
<img src=""><br>tartsa hidegen,<img src=""><br>keep cool
<img src=""><br>kés,<img src=""><br>knife
<img src=""><br>vezető,<img src=""><br>leader
<img src=""><br>tüzet gyújtani,<img src=""><br>light a fire
<img src=""><br>öngyújtó,<img src=""><br>lighter
<img src=""><br>határ,<img src=""><br>limit
<img src=""><br>elveszett,<img src=""><br>lost
<img src=""><br>szerencse,<img src=""><br>luck
<img src=""><br>zajt csapni,<img src=""><br>make a noise
<img src=""><br>térkép,<img src=""><br>map
<img src=""><br>orvosi igazolás,<img src=""><br>medical certificate
<img src=""><br>memorizálni,<img src=""><br>memorize
<img src=""><br>éjfél,<img src=""><br>midnight
<img src=""><br>tükör,<img src=""><br>mirror
<img src=""><br>mountain bike,<img src=""><br>mountain bike
<img src=""><br>mozogni éjszaka,<img src=""><br>move at night
<img src=""><br>gomba,<img src=""><br>mushroom
<img src=""><br>igény,<img src=""><br>need
<img src=""><br>északi,<img src=""><br>north
<img src=""><br>pánik,<img src=""><br>panic
<img src=""><br>résztvevő,<img src=""><br>participant
<img src=""><br>figyel,<img src=""><br>pay attention
<img src=""><br>fizikai,<img src=""><br>physical
<img src=""><br>gyümölcsöt szedni,<img src=""><br>pick fruit
<img src=""><br>pozíció,<img src=""><br>position
<img src=""><br>pozitív,<img src=""><br>positive
<img src=""><br>gyakorlati,<img src=""><br>practical
<img src=""><br>prioritás,<img src=""><br>priority
<img src=""><br>esővíz,<img src=""><br>rainwater
<img src=""><br>értékelés,<img src=""><br>rating
<img src=""><br>fenntartott,<img src=""><br>reserved
<img src=""><br>kockázat,<img src=""><br>risk
<img src=""><br>kötél,<img src=""><br>rope
<img src=""><br>elfutni,<img src=""><br>run away
<img src=""><br>biztonsági mellény,<img src=""><br>safety vest
<img src=""><br>vitorla,<img src=""><br>sail
<img src=""><br>szandál,<img src=""><br>sandal
<img src=""><br>iskolai beszámoló,<img src=""><br>school report
<img src=""><br>biztonságos,<img src=""><br>secure
<img src=""><br>kiáltás,<img src=""><br>shout
<img src=""><br>jel,<img src=""><br>signal
<img src=""><br>hálózsák,<img src=""><br>sleeping bag
<img src=""><br>szóló,<img src=""><br>solo
<img src=""><br>állj egy helyben,<img src=""><br>stand still
<img src=""><br>maradj ott ahol vagy,<img src=""><br>stay where you are
<img src=""><br>tanulási idő,<img src=""><br>study time
<img src=""><br>hülye,<img src=""><br>stupid
<img src=""><br>napos,<img src=""><br>sunny
<img src=""><br>fényvédő krém,<img src=""><br>sunscreen
<img src=""><br>túlélés,<img src=""><br>survival
<img src=""><br>felszállni,<img src=""><br>take off
<img src=""><br>sátor,<img src=""><br>tent
<img src=""><br>teszt,<img src=""><br>test
<img src=""><br>fáklya,<img src=""><br>torch
<img src=""><br>vándorlás,<img src=""><br>trek
<img src=""><br>egyenruha,<img src=""><br>uniform
<img src=""><br>használja a Napot,<img src=""><br>use the Sun
<img src=""><br>meleg,<img src=""><br>warm
<img src=""><br>vizes palack,<img src=""><br>water bottle
<img src=""><br>nyugat,<img src=""><br>west
<img src=""><br>szaxofon,<img src=""><br>saxophone
<img src=""><br>trombita,<img src=""><br>trumpet
<img src=""><br>hárfa,<img src=""><br>harp
<img src=""><br>fuvola,<img src=""><br>flute
<img src=""><br>gordonka,<img src=""><br>cello
<img src=""><br>ambíció,<img src=""><br>ambition
<img src=""><br>ambiciózus,<img src=""><br>ambitious
<img src=""><br>rendezés,<img src=""><br>arragement
<img src=""><br>zenekar,<img src=""><br>band
<img src=""><br>basszus,<img src=""><br>bass
<img src=""><br>üt,<img src=""><br>beat
<img src=""><br>hibáztatni,<img src=""><br>blame
<img src=""><br>fényes,<img src=""><br>bright
<img src=""><br>megtört szív,<img src=""><br>broken heart
<img src=""><br>fülbemászó,<img src=""><br>catchy
<img src=""><br>báj,<img src=""><br>charm
<img src=""><br>bájos,<img src=""><br>charming
<img src=""><br>klasszikus,<img src=""><br>classical
<img src=""><br>valóra váljon,<img src=""><br>come true
<img src=""><br>koncert,<img src=""><br>concert
<img src=""><br>bizalom,<img src=""><br>confidence
<img src=""><br>magabiztos,<img src=""><br>confident
<img src=""><br>DJ,<img src=""><br>DJ
<img src=""><br>letöltés,<img src=""><br>download
<img src=""><br>álom,<img src=""><br>dream
<img src=""><br>dobos,<img src=""><br>drummer
<img src=""><br>dobok,<img src=""><br>drums
<img src=""><br>elektronikus,<img src=""><br>electronic
<img src=""><br>energikus,<img src=""><br>energetic
<img src=""><br>energia,<img src=""><br>energy
<img src=""><br>hírnév,<img src=""><br>fame
<img src=""><br>híres,<img src=""><br>famous
<img src=""><br>rajongók,<img src=""><br>fans
<img src=""><br>farmer,<img src=""><br>farmer jeans
<img src=""><br>végső,<img src=""><br>final
<img src=""><br>végső,<img src=""><br>final
<img src=""><br>népi,<img src=""><br>folk
<img src=""><br>bolond,<img src=""><br>fool
<img src=""><br>fúzió,<img src=""><br>fusion
<img src=""><br>gitár,<img src=""><br>guitar
<img src=""><br>kemény szikla,<img src=""><br>hard rock
<img src=""><br>nehézfém,<img src=""><br>heavy metal
<img src=""><br>hip-hop,<img src=""><br>hip-hop
<img src=""><br>találat,<img src=""><br>hit
<img src=""><br>őrület,<img src=""><br>insanity
<img src=""><br>bíró,<img src=""><br>judge
<img src=""><br>billentyűzet,<img src=""><br>keyboard
<img src=""><br>fajta,<img src=""><br>kind
<img src=""><br>kedvesség,<img src=""><br>kindness
<img src=""><br>dalszöveg,<img src=""><br>lyrics
<img src=""><br>mini,<img src=""><br>mini
<img src=""><br>keverék,<img src=""><br>mixture
<img src=""><br>zenei üzlet,<img src=""><br>music business
<img src=""><br>zenei videó,<img src=""><br>music video
<img src=""><br>nyilvánvalóan,<img src=""><br>obviously
<img src=""><br>zongora,<img src=""><br>piano
<img src=""><br>darab,<img src=""><br>piece
<img src=""><br>pattogatott kukorica,<img src=""><br>popcorn
<img src=""><br>punk rock,<img src=""><br>punk rock
<img src=""><br>rap,<img src=""><br>rap
<img src=""><br>valóság,<img src=""><br>reality
<img src=""><br>lázadó,<img src=""><br>rebel
<img src=""><br>reggae,<img src=""><br>reggae
<img src=""><br>felülvizsgálja,<img src=""><br>revise
<img src=""><br>ritmus,<img src=""><br>rhythm
<img src=""><br>szikla,<img src=""><br>rock
<img src=""><br>rumba,<img src=""><br>rumba
<img src=""><br>salsa,<img src=""><br>salsa
<img src=""><br>szamba,<img src=""><br>samba
<img src=""><br>falatozás,<img src=""><br>snack
<img src=""><br>puha,<img src=""><br>soft
<img src=""><br>dal,<img src=""><br>song
<img src=""><br>sporttorna,<img src=""><br>sports tournament
<img src=""><br>ereje,<img src=""><br>strenght
<img src=""><br>erős,<img src=""><br>strong
<img src=""><br>stílus,<img src=""><br>style
<img src=""><br>siker,<img src=""><br>success
<img src=""><br>sikeres,<img src=""><br>successful
<img src=""><br>tehetség,<img src=""><br>talent
<img src=""><br>tehetséges,<img src=""><br>talented
<img src=""><br>techno,<img src=""><br>techno
<img src=""><br>hagyományos,<img src=""><br>traditional
<img src=""><br>transz,<img src=""><br>trance
<img src=""><br>TV műsorvezető,<img src=""><br>TV presenter
<img src=""><br>változat,<img src=""><br>version
<img src=""><br>kilátás,<img src=""><br>view
<img src=""><br>hegedű,<img src=""><br>violin
<img src=""><br>énekhang,<img src=""><br>vocals
<img src=""><br>hang,<img src=""><br>voice
<img src=""><br>keringő,<img src=""><br>walz
<img src=""><br>gyenge,<img src=""><br>weak
<img src=""><br>gyengeség,<img src=""><br>weakness
<img src=""><br>baleset,<img src=""><br>accident
<img src=""><br>kalandsport,<img src=""><br>adventure sport
<img src=""><br>tériszony,<img src=""><br>agoraphobia
<img src=""><br>boka,<img src=""><br>ankle
<img src=""><br>rossz benne,<img src=""><br>bad at
<img src=""><br>hisz,<img src=""><br>believe
<img src=""><br>csont,<img src=""><br>bone
<img src=""><br>szünet,<img src=""><br>break
<img src=""><br>megtört szív,<img src=""><br>broken heart
<img src=""><br>zúzódás,<img src=""><br>bruise
<img src=""><br>véraláfutásos,<img src=""><br>bruised
<img src=""><br>éget,<img src=""><br>burn
<img src=""><br>égett,<img src=""><br>burned
<img src=""><br>kemping,<img src=""><br>camping
<img src=""><br>barlangászat,<img src=""><br>caving
<img src=""><br>kémiai,<img src=""><br>chemical
<img src=""><br>gyere le,<img src=""><br>come off
<img src=""><br>vágott,<img src=""><br>cut
<img src=""><br>száraz,<img src=""><br>dry
<img src=""><br>könyök,<img src=""><br>elbow
<img src=""><br>lelkes,<img src=""><br>entusiastic
<img src=""><br>izgatott,<img src=""><br>excited
<img src=""><br>izgalom,<img src=""><br>excitement
<img src=""><br>extrém sport,<img src=""><br>extreme sport
<img src=""><br>halálos,<img src=""><br>fatal
<img src=""><br>szeretetteljes,<img src=""><br>fond
<img src=""><br>megijedt,<img src=""><br>frightened of
<img src=""><br>jó benne,<img src=""><br>good at
<img src=""><br>föld,<img src=""><br>ground
<img src=""><br>örül,<img src=""><br>happy about
<img src=""><br>fejfájás,<img src=""><br>headache
<img src=""><br>fogfájás,<img src=""><br>tootache
<img src=""><br>orrfolyás,<img src=""><br>runny nose
<img src=""><br>gyomorfájás,<img src=""><br>stomach ache
<img src=""><br>torokfájás,<img src=""><br>sore throat
<img src=""><br>köhögés,<img src=""><br>cough
<img src=""><br>megfázik,<img src=""><br>have cold
<img src=""><br>láz,<img src=""><br>fever
<img src=""><br>fejhallgató,<img src=""><br>headset
<img src=""><br>magasságok,<img src=""><br>heights
<img src=""><br>horrorfilm,<img src=""><br>horror film
<img src=""><br>fáj,<img src=""><br>hurt
<img src=""><br>injekció,<img src=""><br>injection
<img src=""><br>megsebesíteni,<img src=""><br>injure
<img src=""><br>sérülés,<img src=""><br>injury
<img src=""><br>érdekelt,<img src=""><br>interested
<img src=""><br>lelkes,<img src=""><br>keen on
<img src=""><br>térd,<img src=""><br>knee
<img src=""><br>gyógyszer,<img src=""><br>medicine
<img src=""><br>ideges miatta,<img src=""><br>nervous about
<img src=""><br>művelet,<img src=""><br>operation
<img src=""><br>fájdalmas,<img src=""><br>painful
<img src=""><br>siklóernyőzés,<img src=""><br>paragliding
<img src=""><br>pszichológus,<img src=""><br>psychologist
<img src=""><br>mentőszolgálat,<img src=""><br>rescue service
<img src=""><br>nevetséges,<img src=""><br>ridiculous
<img src=""><br>kockázatos,<img src=""><br>risky
<img src=""><br>hullámvasút,<img src=""><br>roller coaster
<img src=""><br>megijedt,<img src=""><br>scared of
<img src=""><br>váll,<img src=""><br>shoulder
<img src=""><br>snowboardozás,<img src=""><br>snowboarding
<img src=""><br>megoldás,<img src=""><br>solution
<img src=""><br>rándulás,<img src=""><br>sprain
<img src=""><br>kificamodott,<img src=""><br>sprained
<img src=""><br>támogatás,<img src=""><br>support
<img src=""><br>terápia,<img src=""><br>therapy
<img src=""><br>izgalom,<img src=""><br>thrill
<img src=""><br>érintés,<img src=""><br>touch
<img src=""><br>kezelés,<img src=""><br>treatment
<img src=""><br>virtuális valóság,<img src=""><br>virtuel reality
<img src=""><br>aggódik,<img src=""><br>worried about
<img src=""><br>csukló,<img src=""><br>wrist
<img src=""><br>galéria,<img src=""><br>art gallery
<img src=""><br>buszmegálló,<img src=""><br>bus stop
<img src=""><br>parkoló,<img src=""><br>car park
<img src=""><br>irány,<img src=""><br>direction
<img src=""><br>zebra,<img src=""><br>pedestrian crossing
<img src=""><br>rendőrség,<img src=""><br>police station
<img src=""><br>posta,<img src=""><br>post office
<img src=""><br>görkorcsolya pálya,<img src=""><br>skate park
<img src=""><br>ár,<img src=""><br>price
<img src=""><br>kávéfőző,<img src=""><br>coffee machine
<img src=""><br>házasodni,<img src=""><br>marry
<img src=""><br>okos,<img src=""><br>smart
<img src=""><br>kosár,<img src=""><br>basket
<img src=""><br>ruháskosár szennyes ruhának,<img src=""><br>clothes basket
<img src=""><br>bújós játék,<img src=""><br>cuddly toy
<img src=""><br>párna,<img src=""><br>pillow
<img src=""><br>szőnyeg,<img src=""><br>rug
<img src=""><br>lepedő,<img src=""><br>sheet
<img src=""><br>akkumulátortöltő,<img src=""><br>battery charger
<img src=""><br>panasz,<img src=""><br>complaint
<img src=""><br>e-könyv,<img src=""><br>e-book
<img src=""><br>utolsó,<img src=""><br>last
<img src=""><br>menedzser,<img src=""><br>manager
<img src=""><br>modell,<img src=""><br>model
<img src=""><br>rádió,<img src=""><br>radio
<img src=""><br>okostelefon,<img src=""><br>smartphone
<img src=""><br>rettenetesen,<img src=""><br>terribly
<img src=""><br>zaklatás,<img src=""><br>bullying
<img src=""><br>csalás,<img src=""><br>cheating
<img src=""><br>cyber,<img src=""><br>cyber
<img src=""><br>vizsga nyomás,<img src=""><br>exam pressure
<img src=""><br>javítani,<img src=""><br>improve
<img src=""><br>motiváló,<img src=""><br>motivating
<img src=""><br>jelentés,<img src=""><br>report
<img src=""><br>súlyos,<img src=""><br>serious
<img src=""><br>méret,<img src=""><br>size
<img src=""><br>baj,<img src=""><br>trouble
<img src=""><br>vissza,<img src=""><br>back
<img src=""><br>zenei,<img src=""><br>musical
<img src=""><br>sor,<img src=""><br>row
<img src=""><br>aszpirin,<img src=""><br>aspirin
<img src=""><br>kötszer,<img src=""><br>bandage
<img src=""><br>tiszta,<img src=""><br>clean
<img src=""><br>Segítség,<img src=""><br>help
<img src=""><br>jég,<img src=""><br>ice
<img src=""><br>mikrohullámú,<img src=""><br>microwave
<img src=""><br>oszlopdiagram,<img src=""><br>bar chart
<img src=""><br>diagram,<img src=""><br>chart
<img src=""><br>adat,<img src=""><br>data
<img src=""><br>adatdiagram,<img src=""><br>data chart
<img src=""><br>információ,<img src=""><br>information
<img src=""><br>értelmezni,<img src=""><br>interpret
<img src=""><br>kördiagram,<img src=""><br>pie chart
<img src=""><br>bemutat,<img src=""><br>present
<img src=""><br>felmérés,<img src=""><br>survey
<img src=""><br>x tengely,<img src=""><br>x-axis
<img src=""><br>y-tengely,<img src=""><br>y-axis
<img src=""><br>alapvető,<img src=""><br>basic
<img src=""><br>mellkas,<img src=""><br>chest
<img src=""><br>kör,<img src=""><br>circle
<img src=""><br>lefelé,<img src=""><br>downwards
<img src=""><br>jellemzője,<img src=""><br>feature
<img src=""><br>lakás,<img src=""><br>flat
<img src=""><br>index,<img src=""><br>index
<img src=""><br>kézikönyv,<img src=""><br>manual
<img src=""><br>középső,<img src=""><br>middle
<img src=""><br>kifejezés,<img src=""><br>phrase
<img src=""><br>elsődleges,<img src=""><br>primary
<img src=""><br>alapelv,<img src=""><br>principle
<img src=""><br>alak,<img src=""><br>shape
<img src=""><br>jel,<img src=""><br>sign
<img src=""><br>át,<img src=""><br>across
<img src=""><br>mentén,<img src=""><br>along
<img src=""><br>ügy,<img src=""><br>case
<img src=""><br>lábnyom,<img src=""><br>footprint
<img src=""><br>vendéglő,<img src=""><br>inn
<img src=""><br>bűncselekmény,<img src=""><br>crime
<img src=""><br>borostyán,<img src=""><br>ivy
<img src=""><br>hiányzó,<img src=""><br>missing
<img src=""><br>mór,<img src=""><br>moor
<img src=""><br>gyilkosság,<img src=""><br>murder
<img src=""><br>furcsán,<img src=""><br>strangely
<img src=""><br>animáció,<img src=""><br>animation
<img src=""><br>kasszasiker,<img src=""><br>blockbuster
<img src=""><br>rajzfilm,<img src=""><br>cartoon
<img src=""><br>cel,<img src=""><br>cel
<img src=""><br>karakter,<img src=""><br>character
<img src=""><br>számítógép által generált képek (CGI),<img src=""><br>computer generated imagery (CGI)
<img src=""><br>lemez,<img src=""><br>disc
<img src=""><br>filmkészítő,<img src=""><br>film-maker
<img src=""><br>forma,<img src=""><br>form
<img src=""><br>kézzel rajzolt,<img src=""><br>hand-drawn
<img src=""><br>műanyag,<img src=""><br>plastic
<img src=""><br>folyamat,<img src=""><br>process
<img src=""><br>reális,<img src=""><br>realistic
<img src=""><br>speciális hatás,<img src=""><br>special effect
<img src=""><br>pálcikaember,<img src=""><br>stick figure
<img src=""><br>technika,<img src=""><br>technique
<img src=""><br>átlátszó,<img src=""><br>transparent
<img src=""><br>kiszámítani,<img src=""><br>calculate
<img src=""><br>egyenlet,<img src=""><br>equation
<img src=""><br>szabadstílus,<img src=""><br>freestyle
<img src=""><br>hosszúságú,<img src=""><br>lenght
<img src=""><br>sebesség,<img src=""><br>speed
<img src=""><br>idő,<img src=""><br>time
<img src=""><br>pálya,<img src=""><br>track
<img src=""><br>kapcsolatban lenni,<img src=""><br>be in contact with
<img src=""><br>jeladó,<img src=""><br>beacon
<img src=""><br>menekülés,<img src=""><br>escape
<img src=""><br>pontos,<img src=""><br>exact
<img src=""><br>pontosan,<img src=""><br>exactly
<img src=""><br>felfedező,<img src=""><br>explorer
<img src=""><br>elsősegély,<img src=""><br>first aid
<img src=""><br>szabadon,<img src=""><br>freely
<img src=""><br>óriás,<img src=""><br>giant
<img src=""><br>globális helymeghatározó rendszer (GPS),<img src=""><br>global positioning system (GPS)
<img src=""><br>internet kapcsolat,<img src=""><br>internet connection
<img src=""><br>elhelyezkedés,<img src=""><br>location
<img src=""><br>katonai projekt,<img src=""><br>military project
<img src=""><br>offline módban,<img src=""><br>offline
<img src=""><br>személyes lokátor,<img src=""><br>personal locator
<img src=""><br>vevő,<img src=""><br>reciver
<img src=""><br>biztonságosan,<img src=""><br>safely
<img src=""><br>műhold,<img src=""><br>satellite
<img src=""><br>katona,<img src=""><br>soldier
<img src=""><br>tér,<img src=""><br>space
<img src=""><br>bolt,<img src=""><br>store
<img src=""><br>levegő,<img src=""><br>air
<img src=""><br>fúj,<img src=""><br>blow
<img src=""><br>sárgaréz,<img src=""><br>brass
<img src=""><br>gordonka,<img src=""><br>cello
<img src=""><br>klarinét,<img src=""><br>clarinet
<img src=""><br>cintányér,<img src=""><br>cymbal
<img src=""><br>nagybőgő,<img src=""><br>double bass
<img src=""><br>fuvola,<img src=""><br>flute
<img src=""><br>magas hangú,<img src=""><br>high-pitched
<img src=""><br>intervallum,<img src=""><br>interval
<img src=""><br>kulcsfontosságú,<img src=""><br>key
<img src=""><br>laza,<img src=""><br>loose
<img src=""><br>alacsony,<img src=""><br>low
<img src=""><br>jel,<img src=""><br>mark
<img src=""><br>hangjegy,<img src=""><br>musical note
<img src=""><br>ütőhangszerek,<img src=""><br>percussion
<img src=""><br>szabályos,<img src=""><br>regular
<img src=""><br>hangmagasság,<img src=""><br>pitch
<img src=""><br>megismételt,<img src=""><br>repeated
<img src=""><br>húr,<img src=""><br>string
<img src=""><br>harsona,<img src=""><br>trombone
<img src=""><br>trombita,<img src=""><br>trumpet
<img src=""><br>rezeg,<img src=""><br>vibrate
<img src=""><br>fafúvós,<img src=""><br>woodwind
<img src=""><br>xilofon,<img src=""><br>xylophone
<img src=""><br>adrenalint,<img src=""><br>adreanaline
<img src=""><br>vér,<img src=""><br>blood
<img src=""><br>agy,<img src=""><br>brain
<img src=""><br>lélegző,<img src=""><br>breathing
<img src=""><br>hűvös,<img src=""><br>cool
<img src=""><br>kiáltás,<img src=""><br>cry
<img src=""><br>veszély,<img src=""><br>danger
<img src=""><br>félelem,<img src=""><br>fear
<img src=""><br>harc,<img src=""><br>fight
<img src=""><br>szív,<img src=""><br>heart
<img src=""><br>hormon,<img src=""><br>hormone
<img src=""><br>pánik,<img src=""><br>panic
<img src=""><br>tanítvány,<img src=""><br>pupil
<img src=""><br>reakció,<img src=""><br>reaction
<img src=""><br>érzés,<img src=""><br>sensation
